Name,Latitude,Longitude,Address,Categories,Rating,Google Maps URL
Shine Medi - Spa Trị Mụn Quận 7 | Meso Quận 7,10.7339557,106.7012472,"Shine Medi - Spa Trị Mụn Quận 7 | Meso Quận 7, 9 Đ. số 6, Khu dân cư Kim Sơn, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Spa,5,https://www.google.com/maps/place/?q=place_id:ChIJRxCmR2AvdTERvln1plyWe7M
Nha Khoa Peace Dentistry - Quận 7,10.741097499999999,106.6981838,"Nha Khoa Peace Dentistry - Quận 7, 56 Nguyễn Thị Thập, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Phòng khám nha khoa,4.9,https://www.google.com/maps/place/?q=place_id:ChIJ7arqT3kvdTERTpHDJjzvoAw
Daysaki Clinic & Spa - Chi nhánh Quận 7,10.7390788,106.7095533,"Daysaki Clinic & Spa - Chi nhánh Quận 7, 408 Nguyễn Thị Thập, Tân Hưng, Hồ Chí Minh 72913, Việt Nam","Cửa hàng mỹ phẩm, Thẩm mỹ viện, Spa mặt",4.8,https://www.google.com/maps/place/?q=place_id:ChIJqTsL3LEvdTER9ErINIeGqow
Mai Hồ Skin Beauty,10.7345112,106.7008966,"Mai Hồ Skin Beauty, 24 Đ. số 6, Khu dân cư Kim Sơn, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Cơ sở chăm sóc da,5,https://www.google.com/maps/place/?q=place_id:ChIJ2aU4xpwvdTERnDbd8XerII0
YOU N YOUNG Aesthetic Clinic,10.740403299999999,106.6982414,"YOU N YOUNG Aesthetic Clinic, 56 Đường Số 14, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh 72912, Việt Nam",Phòng khám,5,https://www.google.com/maps/place/?q=place_id:ChIJM7bLaRYvdTERIFbpXeulkL4
Glo365 Tân Hưng,10.7262161,106.7102444,"Glo365 Tân Hưng, 55 Đ. Hà Huy Tập, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Phòng khám,4.8,https://www.google.com/maps/place/?q=place_id:ChIJ-VhmZqEvdTERzn-EVAhFV7c
Nha Khoa Lan Anh,10.722984,106.7151933,"Nha Khoa Lan Anh, 149 Đ. Tôn Dật Tiên, Phường, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Phòng khám nha khoa,4.8,https://www.google.com/maps/place/?q=place_id:ChIJoXjy04wvdTERyY20jeHuwzA
Phòng khám Phổi - Sản Khoa,10.7380933,106.7113037,"Phòng khám Phổi - Sản Khoa, 11 Đường số 41, Khu dân cư An Phú Hưng, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Phòng khám,3.1,https://www.google.com/maps/place/?q=place_id:ChIJ8cu20oQvdTERhjzOFQXp-_E
Care With Love Quận 7 - Spa Cho Mẹ Bầu & Bé Bơi Thuỷ Liệu,10.732299099999999,106.7078119,"Care With Love Quận 7 - Spa Cho Mẹ Bầu & Bé Bơi Thuỷ Liệu, 19 Đ. Nội Khu Hưng Gia 4, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 20000, Việt Nam",Trung tâm chăm sóc thai sản,5,https://www.google.com/maps/place/?q=place_id:ChIJ17JAZFYvdTEREAnYzkPjOuw
Bệnh viện Đa khoa Nguyễn Thị Thập,10.7373313,106.7241657,"Bệnh viện Đa khoa Nguyễn Thị Thập, 101 Nguyễn Thị Thập, Tân Mỹ, Hồ Chí Minh 00700, Việt Nam","Bệnh viện đa khoa, Bệnh viện",2.4,https://www.google.com/maps/place/?q=place_id:ChIJu5Tg7H0ldTERYMsAsCbqHjc
