Name,Latitude,Longitude,Address,Ward,Rating,Google Maps URL
Avatar Coffee & Bar | BBQ Ngon Quận 7,10.7403164,106.6984311,"Avatar Coffee & Bar | BBQ Ngon Quận 7, 48 Đường Số 14, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Tân Hưng,4.3,https://www.google.com/maps/place/?q=place_id:ChIJedQ12eIvdTER-rBN_3RP77w
CAFE 04,10.7485076,106.7024726,"CAFE 04, Nguyễn Hữu Thọ, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.5,https://www.google.com/maps/place/?q=place_id:ChIJCR8C_HQvdTERf6E7vKHVS-M
Amos Coffee,10.7385767,106.7084721,"Amos Coffee, 3 Đường số 53, Khu định cư Tân Quy Đông, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.9,https://www.google.com/maps/place/?q=place_id:ChIJ3ebScQAvdTERyLD8LXPz_9o
Neru Coffee 24/7 chi nhánh quận 7,10.7369107,106.7212125,"Neru Coffee 24/7 chi nhánh quận 7, 4 Đ. Số 1, Tân Mỹ, Hồ Chí Minh, Việt Nam",Tân Hưng,3.3,https://www.google.com/maps/place/?q=place_id:ChIJY5LiLgAldTERnL7xhohlJqQ
5Rights Coffee,10.7439071,106.6997071,"5Rights Coffee, G12 Đ. 3A, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Tân Hưng,4.5,https://www.google.com/maps/place/?q=place_id:ChIJn8nwnOYvdTERSakRV9lv-HE
The Coffee House - Nguyễn Thị Thập 2,10.7397457,106.7053754,"The Coffee House - Nguyễn Thị Thập 2, 492 Nguyễn Thị Thập, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Tân Hưng,4.3,https://www.google.com/maps/place/?q=place_id:ChIJLa8ztpwvdTERw3VX2CQRurE
An Coffee,10.747886399999999,106.6954516,"PMXW+554 An Coffee, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.3,https://www.google.com/maps/place/?q=place_id:ChIJLxQNP9svdTER24jQMVm8KTA
Xóm cà phê,10.740832,106.7055711,"Xóm cà phê, 158B Đường số 79, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.2,https://www.google.com/maps/place/?q=place_id:ChIJTxvopp4vdTERg0o3uCAz5kI
Black coffee,10.744532399999999,106.7005221,"Black coffee, C02 Đường số 2A, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.3,https://www.google.com/maps/place/?q=place_id:ChIJl21UDsYvdTERc-nREvaOzyg
Katinat Lê Văn Lương,10.7398501,106.70303,"Katinat Lê Văn Lương, 378 Hẻm 380 Lê Văn Lương, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4,https://www.google.com/maps/place/?q=place_id:ChIJo9hdrR0vdTERlML0gUKM6l0
Bamos Coffee Quận 7 - Cà phê 24h (Khu Kim Sơn),10.734841999999999,106.7007331,"Bamos Coffee Quận 7 - Cà phê 24h (Khu Kim Sơn), B68 Đ. Số 3, Khu dân cư Kim Sơn, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Tân Phong,4.6,https://www.google.com/maps/place/?q=place_id:ChIJ2dp0znIvdTERaFV-0pGsJDI
Tô Tượng Q7- WorkShop Lâm Coffee,10.734233,106.70148479999999,"Tô Tượng Q7- WorkShop Lâm Coffee, 83-85 Đ. số 9, Khu dân cư Kim Sơn, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Tân Phong,4.7,https://www.google.com/maps/place/?q=place_id:ChIJIV5gogsvdTERmqrw_8Hg69k
Dolphy Café Mỹ Toàn,10.7280977,106.7069178,"Dolphy Café Mỹ Toàn, 1441 Đường Nguyễn Văn Linh, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,4.7,https://www.google.com/maps/place/?q=place_id:ChIJ22p6x2AvdTERFDZPouHGoMs
CAFE MÈO SHIKI - CAFE THÚ CƯNG QUẬN 7- CAT COFFEE,10.7309015,106.7035148,"CAFE MÈO SHIKI - CAFE THÚ CƯNG QUẬN 7- CAT COFFEE, A44 Đường Số 14, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,4.9,https://www.google.com/maps/place/?q=place_id:ChIJ6WiGSlAvdTERfQHqJng70vk
The Fig Cafe,10.7269128,106.7105692,"The Fig Cafe, 7a Nguyễn Bính, Khu đô thị Phú Mỹ Hưng, Quận 7, Hồ Chí Minh, Việt Nam",Tân Phong,4.3,https://www.google.com/maps/place/?q=place_id:ChIJN_yLl_ovdTERDpCe3N0ySUo
Milano Coffee Kim Sơn | Cà phê quận 7 | Quán Coffee | Cà Phê KDC Kim Sơn,10.7344961,106.701588,"Milano Coffee Kim Sơn | Cà phê quận 7 | Quán Coffee | Cà Phê KDC Kim Sơn, B100-101 Đ. số 9, Khu dân cư Kim Sơn, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,4,https://www.google.com/maps/place/?q=place_id:ChIJWYqNu5MvdTERXWdgSxtkRpU
HERA COFFEE AND TEA | CÀ PHÊ NGON QUẬN 7 | CÀ PHÊ VIEW ĐẸP QUẬN 7,10.729047999999999,106.7324469,"HERA COFFEE AND TEA | CÀ PHÊ NGON QUẬN 7 | CÀ PHÊ VIEW ĐẸP QUẬN 7, 852 Huỳnh Tấn Phát, Tân Mỹ, Hồ Chí Minh, Việt Nam",Tân Phong,4.3,https://www.google.com/maps/place/?q=place_id:ChIJ5XCVgXkldTERHaducpyRtZg
The Seventh Barista/cafe and more,10.7268505,106.69347619999999,"The Seventh Barista/cafe and more, 63 đường số 14, khu ven sông, Tân Hưng, Hồ Chí Minh 760000, Việt Nam",Tân Phong,4.7,https://www.google.com/maps/place/?q=place_id:ChIJs06heDUvdTERoNy1SNffOr8
VivaStarCoffee Tân Phong,10.7374041,106.70639519999999,"VivaStarCoffee Tân Phong, 62 Đ. Số 65, Khu định cư Tân Quy Đông, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,4.8,https://www.google.com/maps/place/?q=place_id:ChIJZw142PgvdTERHYcvmLb-e3c
WHY NOT COFFEE,10.7352957,106.70102329999999,"WHY NOT COFFEE, A99 Đ. Số 5, Khu dân cư Kim Sơn, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,4.4,https://www.google.com/maps/place/?q=place_id:ChIJy62TDjkvdTERzQOXr0qttCI
"Cafe Ông Bầu KDC Kim Sơn,q7",10.7349906,106.7009303,"Cafe Ông Bầu KDC Kim Sơn,q7, 2 Đ. Số 3, Khu dân cư Kim Sơn, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Tân Phong,4.1,https://www.google.com/maps/place/?q=place_id:ChIJlZIi0pUvdTERtfk-L_g-59E
"11 đường số 40 ,p tân phong quận 7",10.7365032,106.710347,"11 đường số 40 ,p tân phong quận 7, 11 Đường số 40, Khu dân cư An Phú Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,,https://www.google.com/maps/place/?q=place_id:ChIJM430bAAvdTERHUV7xZAoJeI
Skymian Premium Coffee,10.7316126,106.7087111,"Skymian Premium Coffee, 48 Nội khu Hưng Phước 1, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Tân Phong,3.9,https://www.google.com/maps/place/?q=place_id:ChIJa0uVqQwvdTERdFA07l9YVVs
The Coffee House,10.7306309,106.7068662,"The Coffee House, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Tân Phong,4.3,https://www.google.com/maps/place/?q=place_id:ChIJe8UlaUMvdTERz9CbYD0fi6g
Rosé' S book Café & Tea,10.735472399999999,106.7020842,"Rosé' S book Café & Tea, 27 Đ. số 9, Khu dân cư Kim Sơn, Tân Hưng, Hồ Chí Minh 72915, Việt Nam",Tân Phong,5,https://www.google.com/maps/place/?q=place_id:ChIJ90AqVA0vdTERNRKyy_SSqXI
Booktree Book Cafe,10.7236412,106.70990259999999,"Booktree Book Cafe, R2-30 Lý Long Tường Tân Hung, ward, Phu my hung ( Trước, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Tân Phong,4.7,https://www.google.com/maps/place/?q=place_id:ChIJewLwy5IvdTERD6_1VMkCNsU
K COFFEE Phú Mỹ Hưng,10.7295786,106.7082769,"K COFFEE Phú Mỹ Hưng, 5 Hưng Phước 4, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,4.5,https://www.google.com/maps/place/?q=place_id:ChIJGWf8feYvdTERsFF01kidqXs
Cafe Shining Glory,10.722278,106.712519,"Cafe Shining Glory, Garden Plaza 1, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,4.1,https://www.google.com/maps/place/?q=place_id:ChIJMX0Yu_IvdTERmbLInjZKPak
Cafe cóc quận 7,10.7258344,106.7106621,"Cafe cóc quận 7, 15 Nguyễn Bính, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,3,https://www.google.com/maps/place/?q=place_id:ChIJAfgCoDcvdTERxKiGcENUpMw
HAYO Coffee & Crepes,10.7319936,106.70886,"HAYO Coffee & Crepes, 40 Cao Triều Phát, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,4.5,https://www.google.com/maps/place/?q=place_id:ChIJ12IOsvgvdTERbSNj3OfpwG8
Cafe Góc Phố,10.730846999999999,106.7011543,"Cafe Góc Phố, 266/6C Đường Số 14, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,4.1,https://www.google.com/maps/place/?q=place_id:ChIJi_vQPpYvdTERRLwCd4QAWHI
Cafe Nè,10.7269519,106.71239369999999,"Cafe Nè, Nguyễn Cao (Nam, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,4.3,https://www.google.com/maps/place/?q=place_id:ChIJWxB_ko0vdTERnLRqu4lB-f0
Phuc Long Coffee & Tea,10.7296818,106.7068493,"Phuc Long Coffee & Tea, 34 Đ. Phạm Văn Nghị, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Phong,4.1,https://www.google.com/maps/place/?q=place_id:ChIJpzogxrsvdTERVu3X7OwpgPo
5050 Coffee Tea - Phú Mỹ Hưng,10.7267002,106.7121009,"5050 Coffee Tea - Phú Mỹ Hưng, 68 Đ. Hà Huy Tập, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 72915, Việt Nam",Tân Phong,4.3,https://www.google.com/maps/place/?q=place_id:ChIJabH9VQIvdTERY3bU3xAMk_I
Cà Rề cafe Q7,10.7418628,106.7177067,"Cà Rề cafe Q7, 21 Số 47, Tân Thuận, Hồ Chí Minh, Việt Nam",Tân Quy,4.6,https://www.google.com/maps/place/?q=place_id:ChIJBcVgUt8vdTERvwQF0I920R4
Cà Phê Sân Vườn Du Mục,10.7436007,106.7157034,"Cà Phê Sân Vườn Du Mục, 134 Đ. Lâm Văn Bền, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Quy,4,https://www.google.com/maps/place/?q=place_id:ChIJTzZ9aoIvdTER0fc5Rj6Hl_g
HAUSE cafe,10.7405941,106.7143856,"HAUSE cafe, 109 Đường số 53, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Quy,4.6,https://www.google.com/maps/place/?q=place_id:ChIJyYn2HgAvdTERN_rOSm9wdV0
Cafe Góc Nắng,10.741940999999999,106.71359059999999,"PPR7+QCG Cafe Góc Nắng, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Quy,4,https://www.google.com/maps/place/?q=place_id:ChIJ4RwcG4MvdTERwtOFDSHe5R4
Raum Brunch Cafe,10.723896,106.7290105,"Raum Brunch Cafe, 27 Đường số 16, Khu đô thị Phú Mỹ Hưng, Tân Mỹ, Hồ Chí Minh, Việt Nam",Tân Quy,4.4,https://www.google.com/maps/place/?q=place_id:ChIJf5dULuwldTERhbtf7fImTZo
Laam cafe,10.7214262,106.72725129999999,"Laam cafe, 59 Đường Số 17, Khu đô thị Phú Mỹ Hưng, Tân Mỹ, Hồ Chí Minh, Việt Nam",Tân Quy,4.8,https://www.google.com/maps/place/?q=place_id:ChIJ6_WUZNQldTERP0f8XLnywZI
Bluu Kopi,10.7514635,106.7074773,"Bluu Kopi, 465/2 Đ. Trần Xuân Soạn, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Tân Quy,5,https://www.google.com/maps/place/?q=place_id:ChIJizEaGFEvdTER_3Z91r-EPAs
"94/1 Lâm Văn Bền, phường Tân Kiểng, quận 7",10.7465478,106.715496,"PPW8+J59 94/1 Lâm Văn Bền, phường Tân Kiểng, quận 7, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Kiểng,4.8,https://www.google.com/maps/place/?q=place_id:ChIJ441VafEvdTERiqcW69A_TKQ
MỘT 05 KAFE,10.747323999999999,106.706948,"MỘT 05 KAFE, 105 Phan Huy Thực, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Kiểng,4.6,https://www.google.com/maps/place/?q=place_id:ChIJucDmVF4vdTER4H1RV6mJiAg
LA COFFEE,10.7423197,106.7135598,"LA COFFEE, 136D Mai Văn Vĩnh, Tân Hưng, Hồ Chí Minh 72913, Việt Nam",Tân Kiểng,4.9,https://www.google.com/maps/place/?q=place_id:ChIJE0mtBsAvdTER2RIEmB-doWE
SOFÉ,10.7393717,106.694896,"PMQV+RX4 SOFÉ, Đ. Trần Xuân Soạn, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Kiểng,4.4,https://www.google.com/maps/place/?q=place_id:ChIJ-bkJXgAvdTERryFkef1jOO0
